[2025-11-20 15-35-58] [2025-11-20 15:35:58] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='closeAlert', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=closeAlert&alertId=vat_danger_2_5mil&userId=1 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro financial_reports na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/financial_reports/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul financial_reports vrátil 3 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul financial_reports s 3 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro invoice_email na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_warning] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Soubor Module.php pro modul invoice_email neexistuje: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro notes na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/notes/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Notes\Module pro modul: notes (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Notes\Module pro modul: notes  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul notes vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul notes s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro test_module na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/test_module/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Test_module\Module pro modul: test_module (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Test_module\Module pro modul: test_module  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul test_module vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul test_module s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-40] [2025-11-20 15:48:40] [module_menu_final] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Finální počet modulů s menu: 3  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-41] [2025-11-20 15:48:41] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='getAllData', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-48-41] [2025-11-20 15:48:41] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='getAllData', time=30.03ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-48-46] [2025-11-20 15:48:46] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='closeAlert', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=closeAlert&alertId=vat_danger_2_5mil&userId=1 
[2025-11-20 15-48-46] [2025-11-20 15:48:46] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='closeAlert', time=20.74ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=closeAlert&alertId=vat_danger_2_5mil&userId=1 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Načítání menu z 4 aktivních modulů  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro financial_reports na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/financial_reports/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul financial_reports vrátil 3 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul financial_reports s 3 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro invoice_email na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_warning] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Soubor Module.php pro modul invoice_email neexistuje: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro notes na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/notes/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Notes\Module pro modul: notes (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Notes\Module pro modul: notes  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul notes vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul notes s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro test_module na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/test_module/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Test_module\Module pro modul: test_module (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Test_module\Module pro modul: test_module  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul test_module vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul test_module s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-52] [2025-11-20 15:48:52] [module_menu_final] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Finální počet modulů s menu: 3  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-48-54] [2025-11-20 15:48:54] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='getAllData', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-48-54] [2025-11-20 15:48:54] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='getAllData', time=29.85ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Načítání menu z 4 aktivních modulů  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro financial_reports na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/financial_reports/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul financial_reports vrátil 3 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul financial_reports s 3 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro invoice_email na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_warning] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Soubor Module.php pro modul invoice_email neexistuje: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro notes na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/notes/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Notes\Module pro modul: notes (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Notes\Module pro modul: notes  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul notes vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul notes s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro test_module na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/test_module/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Test_module\Module pro modul: test_module (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Test_module\Module pro modul: test_module  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul test_module vrátil 1 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul test_module s 1 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-17] [2025-11-20 15:56:17] [module_menu_final] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Finální počet modulů s menu: 3  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-19] [2025-11-20 15:56:19] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='getAllData', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-56-19] [2025-11-20 15:56:19] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='getAllData', time=33.28ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Načítání menu z 4 aktivních modulů  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro financial_reports na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/financial_reports/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul financial_reports vrátil 3 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Úspěšně zpracován modul financial_reports s 3 menu položkami  @  http://localhost:8000/moduleadmin/detail/financial_reports 
[2025-11-20 15-56-41] [2025-11-20 15:56:41] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro invoice_email na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/invoice_email/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports 
